customer_id,tenure_months,monthly_charges,support_tickets,contract,region,churned
C00149,5,77.06,1,month-to-month,north,1
C00150,61,89.18,1,one-year,south,0
C00151,20,41.5,2,one-year,north,0
C00152,66,42.01,1,one-year,west,0
C00153,21,81.2,2,month-to-month,north,0
C00154,31,71.46,0,one-year,east,1
C00155,47,83.72,3,month-to-month,east,0
C00156,9,65.31,1,month-to-month,north,1
C00157,40,76.95,0,one-year,west,0
C00158,36,73.95,3,one-year,north,0
C00159,56,89.44,1,month-to-month,west,0
C00160,71,90.18,0,two-year,east,0
C00161,48,29.5,2,month-to-month,east,0
C00162,30,15.0,0,one-year,west,1
C00163,29,95.04,0,two-year,south,1
C00164,30,99.69,1,month-to-month,south,1
C00165,58,44.48,1,two-year,north,0
C00166,23,23.5,3,one-year,west,0
C00167,12,72.48,1,one-year,south,0
C00168,24,93.27,1,one-year,west,0
C00169,2,114.94,0,one-year,south,0
C00170,8,82.91,1,month-to-month,west,1
C00171,7,60.71,1,one-year,west,1
C00172,55,47.67,1,month-to-month,south,0
C00173,52,70.29,1,two-year,south,0
C00174,50,62.52,2,month-to-month,west,0
C00175,33,44.62,4,month-to-month,north,1
C00176,51,121.22,0,two-year,north,0
C00177,12,114.63,3,month-to-month,south,0
C00178,64,98.4,0,month-to-month,east,0
C00179,36,46.98,1,one-year,north,0
C00180,67,91.38,4,month-to-month,south,1
C00181,11,85.99,4,month-to-month,west,1
C00182,36,81.06,1,month-to-month,north,0
C00183,50,101.24,3,month-to-month,north,0
C00184,36,85.88,2,month-to-month,south,1
C00185,32,88.5,0,month-to-month,north,0
C00186,12,85.92,2,month-to-month,north,0
C00187,28,78.52,2,month-to-month,north,1
C00188,17,25.41,1,month-to-month,north,0
C00189,22,72.09,1,one-year,west,0
C00190,49,56.1,1,one-year,north,0
C00191,45,38.0,0,month-to-month,east,0
C00192,44,112.05,4,month-to-month,east,1
C00193,26,113.22,1,two-year,east,0
C00194,69,103.98,2,one-year,east,0
C00195,7,76.38,2,month-to-month,south,1
C00196,25,103.77,1,month-to-month,west,1
C00197,9,70.3,1,month-to-month,north,1
C00198,25,75.07,0,two-year,north,0
C00199,69,42.66,3,two-year,west,0
C00200,27,79.92,0,two-year,north,0
C00201,65,71.51,1,month-to-month,north,0
C00202,36,37.43,2,month-to-month,north,0
C00203,50,68.72,0,month-to-month,north,1
C00204,33,68.01,2,month-to-month,north,0
C00205,19,114.94,2,month-to-month,east,1
C00206,55,92.36,3,one-year,east,0
C00207,69,70.29,1,month-to-month,north,0
C00208,19,76.22,0,two-year,west,0
C00209,56,71.11,0,month-to-month,north,0
C00210,19,64.93,1,month-to-month,east,1
C00211,51,42.94,1,two-year,west,0
C00212,57,66.22,2,one-year,east,0
C00213,32,51.35,0,month-to-month,south,0
C00214,53,38.74,0,one-year,north,0
C00215,20,82.78,1,month-to-month,north,1
C00216,6,79.78,2,month-to-month,west,1
C00217,7,25.33,3,month-to-month,south,1
C00218,32,66.93,1,month-to-month,north,0
C00219,65,94.89,3,one-year,east,1
C00220,10,96.48,1,month-to-month,east,1
C00221,33,95.65,1,one-year,north,0
C00222,50,70.97,1,one-year,north,0
C00223,15,48.87,1,month-to-month,north,1
C00224,52,42.91,1,month-to-month,north,0
C00225,22,78.62,2,month-to-month,east,0
C00226,58,79.48,2,one-year,north,0
C00227,42,102.18,0,one-year,east,0
C00228,39,97.5,0,one-year,north,0
C00229,13,66.69,0,month-to-month,west,0
C00230,33,38.89,2,month-to-month,east,1
C00231,61,62.02,1,month-to-month,south,0
C00232,2,75.43,2,month-to-month,south,1
C00233,54,64.95,0,one-year,north,0
C00234,35,55.55,2,month-to-month,north,0
C00235,52,76.32,0,month-to-month,east,1
C00236,48,57.4,0,month-to-month,north,0
C00237,31,54.3,3,month-to-month,east,1
C00238,22,77.79,2,one-year,south,1
C00239,45,59.95,1,month-to-month,north,0
C00240,10,76.1,2,two-year,east,0
C00241,42,76.83,2,two-year,east,0
C00242,7,41.51,1,two-year,east,0
C00243,47,57.97,1,one-year,north,1
C00244,45,105.94,0,one-year,east,0
C00245,6,40.95,1,one-year,west,0
C00246,54,17.08,0,month-to-month,south,1
C00247,30,23.45,1,month-to-month,west,0
C00248,56,70.73,2,one-year,east,0
C00249,3,70.77,4,month-to-month,south,1
C00250,13,67.06,1,month-to-month,west,1
C00251,36,100.35,4,two-year,west,0
C00252,14,15.0,2,month-to-month,north,1
C00253,24,79.9,0,month-to-month,west,0
C00254,47,109.04,2,one-year,north,0
C00255,11,41.81,0,month-to-month,north,1
C00256,49,60.5,2,two-year,north,1
C00257,8,51.18,4,month-to-month,south,1
C00258,13,47.64,2,two-year,west,0
C00259,42,61.84,1,one-year,east,0
C00260,57,105.69,2,month-to-month,east,0
C00261,13,115.93,1,month-to-month,north,0
C00262,22,61.6,3,month-to-month,east,0
C00263,66,117.63,1,month-to-month,south,0
C00264,71,70.89,3,month-to-month,south,0
C00265,42,113.84,0,two-year,south,1
C00266,32,67.67,0,month-to-month,north,1
C00267,25,73.28,0,two-year,west,0
C00268,44,79.14,2,month-to-month,east,1
C00269,42,149.47,1,two-year,south,0
C00270,21,91.28,2,month-to-month,north,0
C00271,2,52.32,2,month-to-month,west,1
C00272,11,94.22,3,one-year,south,0
C00273,69,60.95,4,month-to-month,south,0
C00274,30,57.76,2,two-year,east,1
C00275,35,92.72,3,month-to-month,north,1
C00276,34,70.78,0,month-to-month,east,1
C00277,56,76.96,4,month-to-month,west,1
C00278,5,70.35,1,one-year,south,1
C00279,6,78.41,0,month-to-month,north,1
C00280,20,80.62,1,month-to-month,north,1
C00281,35,21.58,0,month-to-month,north,0
C00282,48,86.66,1,month-to-month,east,1
C00283,35,45.45,0,month-to-month,south,0
C00284,32,33.94,0,two-year,north,0
C00285,67,68.54,1,month-to-month,east,0
C00286,12,72.1,2,one-year,north,0
C00287,41,52.66,5,month-to-month,south,1
C00288,39,90.78,1,month-to-month,west,0
C00289,34,36.45,3,month-to-month,north,0
C00290,58,59.83,0,month-to-month,north,0
C00291,19,55.38,2,month-to-month,south,1
C00292,68,68.84,1,month-to-month,east,0
C00293,24,76.97,1,month-to-month,north,1
C00294,39,44.8,1,two-year,west,0
C00295,37,88.11,1,month-to-month,north,0
C00296,61,71.58,2,month-to-month,west,1
C00297,32,22.7,2,month-to-month,east,1
C00298,21,21.04,0,month-to-month,north,0
C00299,2,69.69,1,one-year,north,1
C00300,26,64.48,0,month-to-month,north,1
C00301,59,67.41,3,one-year,south,0
C00302,1,69.3,2,month-to-month,south,1
C00303,64,75.64,0,month-to-month,east,0
C00304,39,93.69,2,two-year,south,0
C00305,10,42.22,3,month-to-month,east,0
C00306,22,40.7,3,one-year,south,0
C00307,40,42.67,1,month-to-month,south,1
C00308,23,77.22,1,two-year,south,0
C00309,8,101.12,0,month-to-month,south,1
C00310,48,59.22,0,month-to-month,west,0
C00311,48,15.0,1,one-year,north,0
C00312,9,27.4,0,month-to-month,south,1
C00313,20,49.17,1,month-to-month,west,1
C00314,18,56.06,3,two-year,east,1
C00315,47,59.79,2,one-year,north,1
C00316,52,70.96,3,one-year,west,0
C00317,52,62.21,3,one-year,north,1
C00318,67,96.23,0,two-year,north,0
C00319,55,53.1,1,two-year,south,0
C00320,23,48.44,2,one-year,east,0
C00321,8,81.97,3,month-to-month,north,1
C00322,44,31.61,1,month-to-month,west,0
C00323,66,79.74,5,one-year,north,0
C00324,70,72.56,3,two-year,west,0
C00325,17,66.31,1,month-to-month,north,0
C00326,17,109.71,1,month-to-month,south,0
C00327,3,54.44,3,month-to-month,east,1
C00328,11,121.51,1,month-to-month,south,0
C00329,40,64.36,0,two-year,east,0
C00330,39,38.07,1,month-to-month,east,0
C00331,27,71.75,4,one-year,east,0
C00332,23,43.09,6,one-year,south,0
C00333,59,51.21,4,two-year,west,0
C00334,33,79.93,1,month-to-month,east,0
C00335,58,83.89,1,two-year,south,0
C00336,69,54.45,1,one-year,east,0
C00337,23,94.69,1,one-year,west,0
C00338,15,98.94,2,month-to-month,west,1
C00339,68,105.91,2,month-to-month,east,0
C00340,46,83.24,1,one-year,west,0
C00341,21,104.09,2,month-to-month,west,0
C00342,45,22.98,3,month-to-month,south,0
C00343,37,62.05,2,one-year,east,0
C00344,65,48.32,1,one-year,north,0
C00345,19,72.98,1,month-to-month,south,1
C00346,71,55.71,1,month-to-month,west,0
C00347,67,65.85,2,month-to-month,south,0
C00348,13,117.05,3,two-year,west,1
C00349,12,65.76,1,two-year,south,0
C00350,38,80.34,3,month-to-month,north,1
C00351,4,64.19,3,month-to-month,north,1
C00352,22,71.89,1,month-to-month,east,0
C00353,31,70.15,0,month-to-month,south,0
C00354,69,81.21,2,two-year,east,0
C00355,71,99.13,1,month-to-month,north,0
C00356,11,111.18,1,month-to-month,south,0
C00357,64,77.74,2,month-to-month,north,0
C00358,7,84.74,3,month-to-month,south,1
C00359,54,41.23,1,two-year,west,0
C00360,61,67.8,2,one-year,north,0
C00361,64,93.51,2,one-year,east,0
C00362,16,91.65,1,month-to-month,north,1
C00363,64,75.29,1,two-year,east,0
C00364,9,92.16,1,month-to-month,west,1
C00365,37,82.27,2,two-year,south,0
C00366,34,100.01,0,two-year,north,0
C00367,23,77.23,1,month-to-month,east,0
C00368,2,61.11,2,two-year,south,0
C00369,55,78.4,0,month-to-month,west,0
C00370,24,15.0,0,one-year,west,0
C00371,47,79.57,1,month-to-month,east,0
C00372,30,15.0,1,month-to-month,east,1
C00373,27,26.91,1,month-to-month,east,0
C00374,63,81.29,5,month-to-month,east,0
C00375,7,81.94,2,month-to-month,south,1
C00376,53,40.94,1,month-to-month,west,0
C00377,54,52.2,5,one-year,south,0
C00378,27,104.26,2,month-to-month,north,1
C00379,19,57.9,2,month-to-month,east,0
C00380,1,126.07,1,two-year,east,1
C00381,67,69.95,0,two-year,west,0
C00382,68,80.2,0,month-to-month,south,0
C00383,18,110.42,0,month-to-month,south,1
C00384,3,73.28,2,one-year,east,1
C00385,9,44.94,4,one-year,south,0
C00386,5,67.26,1,month-to-month,west,1
C00387,60,69.11,5,one-year,south,1
C00388,64,35.88,4,month-to-month,west,0
C00389,11,63.6,1,month-to-month,south,1
C00390,54,51.45,1,one-year,north,0
C00391,13,93.11,1,one-year,west,1
C00392,27,70.87,0,two-year,east,0
C00393,43,62.93,0,month-to-month,east,0
C00394,52,67.35,2,month-to-month,east,0
C00395,63,75.58,0,month-to-month,south,1
C00396,4,85.42,1,month-to-month,west,0
C00397,14,45.01,3,month-to-month,south,1
C00398,20,43.96,1,month-to-month,west,0
C00399,23,97.62,4,month-to-month,south,1
C00400,71,59.69,2,one-year,north,0
C00401,56,34.58,1,month-to-month,north,0
C00402,23,81.1,4,month-to-month,west,1
C00403,69,81.58,1,one-year,east,0
C00404,36,31.73,2,month-to-month,south,1
C00405,36,75.74,1,two-year,west,0
C00406,31,88.39,1,month-to-month,east,0
C00407,11,79.36,0,month-to-month,east,1
C00408,67,85.8,2,two-year,east,1
C00409,1,34.89,2,one-year,north,1
C00410,13,78.28,3,one-year,north,1
C00411,17,62.43,2,one-year,east,1
C00412,20,57.93,1,month-to-month,north,0
C00413,10,91.76,0,one-year,east,0
C00414,2,106.98,1,two-year,north,0
C00415,49,114.86,2,two-year,south,0
C00416,69,102.87,0,month-to-month,east,0
C00417,9,67.26,2,month-to-month,east,1
C00418,22,78.82,1,one-year,west,0
C00419,36,89.17,0,month-to-month,east,0
C00420,66,73.03,1,month-to-month,north,0
C00421,50,73.27,1,month-to-month,west,0
C00422,55,90.59,0,month-to-month,north,0
C00423,42,68.52,0,month-to-month,north,0
C00424,30,51.77,1,month-to-month,west,0
C00425,15,59.64,1,month-to-month,north,1
C00426,62,85.85,0,month-to-month,east,0
C00427,58,70.07,1,two-year,south,1
C00428,2,78.51,0,month-to-month,west,1
C00429,51,86.75,0,month-to-month,north,0
C00430,6,60.63,4,month-to-month,north,1
C00431,53,88.91,1,month-to-month,south,0
C00432,59,79.47,2,two-year,south,1
C00433,10,39.13,1,two-year,west,0
C00434,31,106.06,4,month-to-month,east,1
C00435,9,57.48,3,month-to-month,north,0
C00436,41,28.62,2,month-to-month,west,0
C00437,66,43.87,0,month-to-month,south,1
C00438,6,44.47,1,month-to-month,west,1
C00439,29,71.3,0,month-to-month,west,0
C00440,70,63.15,2,month-to-month,north,0
C00441,22,61.58,0,one-year,east,0
C00442,10,85.49,1,month-to-month,south,1
C00443,35,78.5,3,month-to-month,south,1
C00444,37,77.9,2,month-to-month,south,1
C00445,48,80.25,3,month-to-month,east,0
C00446,23,85.4,1,month-to-month,south,1
C00447,68,17.3,1,month-to-month,north,0
C00448,37,60.89,1,month-to-month,south,0
C00449,21,15.49,1,month-to-month,north,0
C00450,69,70.9,1,two-year,west,1
C00451,66,69.88,3,two-year,east,0
C00452,36,96.14,0,month-to-month,south,1
C00453,2,99.69,1,month-to-month,south,1
C00454,43,75.07,2,one-year,north,1
C00455,40,57.49,0,one-year,south,0
C00456,11,82.13,0,month-to-month,west,1
C00457,46,56.8,2,month-to-month,north,0
C00458,60,69.97,1,month-to-month,north,0
C00459,8,94.65,1,one-year,west,0
C00460,52,56.06,1,month-to-month,east,0
C00461,10,90.14,1,month-to-month,north,1
C00462,54,86.94,0,month-to-month,south,1
C00463,30,46.13,2,month-to-month,east,1
C00464,1,94.35,4,month-to-month,south,0
C00465,69,87.46,3,one-year,south,0
C00466,12,72.55,0,month-to-month,east,1
C00467,43,50.94,1,month-to-month,east,0
C00468,13,48.52,1,month-to-month,west,1
C00469,67,56.56,1,two-year,north,0
C00470,53,83.56,3,month-to-month,south,0
C00471,58,46.11,2,month-to-month,north,1
C00472,31,80.94,1,month-to-month,east,1
C00473,34,38.96,1,two-year,east,0
C00474,46,64.9,2,one-year,south,1
C00475,56,72.74,1,two-year,east,0
C00476,61,131.13,2,one-year,south,0
C00477,2,35.57,0,month-to-month,north,1
C00478,48,106.8,1,month-to-month,east,0
C00479,8,73.75,3,month-to-month,south,1
C00480,21,80.28,2,one-year,south,1
C00481,59,72.96,1,one-year,south,1
C00482,18,81.12,2,month-to-month,west,1
C00483,57,66.16,1,two-year,north,1
C00484,33,106.35,0,month-to-month,south,1
C00485,17,58.59,2,month-to-month,east,0
C00486,24,98.31,2,month-to-month,north,0
C00487,38,53.89,1,two-year,north,0
C00488,55,68.49,3,two-year,east,0
C00489,44,43.2,0,month-to-month,east,0
C00490,67,81.38,2,two-year,east,0
C00491,62,106.13,4,two-year,north,1
C00492,54,68.07,2,two-year,west,0
C00493,43,65.08,1,two-year,south,0
C00494,21,42.13,3,month-to-month,north,0
C00495,30,64.27,1,one-year,south,0
C00496,9,30.18,0,one-year,north,0
C00497,27,47.18,1,one-year,south,0
C00498,66,75.67,1,month-to-month,south,1
C00499,31,102.98,2,one-year,south,0
C00500,9,140.23,1,two-year,south,0
C00501,47,55.34,2,month-to-month,west,0
C00502,69,105.88,5,two-year,west,0
C00503,62,76.09,2,month-to-month,south,1
C00504,20,66.22,0,month-to-month,west,0
C00505,33,80.81,0,month-to-month,west,0
C00506,38,71.55,3,one-year,west,0
C00507,18,72.76,0,one-year,north,0
C00508,20,59.79,3,month-to-month,south,1
C00509,17,35.05,4,one-year,south,1
C00510,71,31.41,0,month-to-month,north,0
C00511,53,86.33,1,month-to-month,north,0
C00512,60,63.08,0,two-year,east,0
C00513,58,55.1,1,one-year,south,0
C00514,69,70.21,4,one-year,west,0
C00515,8,89.87,1,one-year,east,1
C00516,63,74.51,2,two-year,north,0
C00517,5,53.6,2,month-to-month,west,1
C00518,34,100.66,1,month-to-month,south,1
C00519,43,109.48,1,month-to-month,east,1
C00520,26,82.36,1,one-year,west,0
C00521,11,94.34,1,one-year,east,1
C00522,14,101.05,1,one-year,north,0
C00523,59,98.25,0,month-to-month,north,1
C00524,23,85.35,1,month-to-month,south,1
C00525,23,84.96,4,one-year,north,1
C00526,66,82.99,0,two-year,north,0
C00527,11,42.57,3,month-to-month,west,1
C00528,65,87.52,2,month-to-month,north,0
C00529,66,36.1,0,month-to-month,north,0
C00530,43,50.14,1,month-to-month,east,0
C00531,12,102.59,5,month-to-month,north,1
C00532,12,91.01,0,month-to-month,south,0
C00533,21,107.18,1,one-year,west,0
C00534,41,63.21,0,month-to-month,east,0
C00535,11,41.19,0,month-to-month,west,0
C00536,33,63.99,1,month-to-month,south,1
C00537,9,72.55,0,two-year,east,0
C00538,39,71.97,4,month-to-month,north,1
C00539,2,98.34,3,month-to-month,south,1
C00540,51,60.97,0,month-to-month,north,0
C00541,4,78.8,0,one-year,west,1
C00542,14,45.28,5,two-year,north,0
C00543,13,81.26,0,month-to-month,north,0
C00544,60,70.08,2,month-to-month,south,0
C00545,4,51.25,2,month-to-month,south,0
C00546,31,64.1,1,one-year,south,0
C00547,42,65.4,0,two-year,south,0
C00548,37,63.25,0,month-to-month,south,0
C00549,49,114.28,2,month-to-month,west,1
C00550,58,67.54,1,one-year,east,0
C00551,28,63.9,0,one-year,west,0
C00552,59,17.56,3,month-to-month,west,1
C00553,23,47.64,1,month-to-month,east,1
C00554,70,63.42,0,month-to-month,west,0
C00555,36,52.85,6,one-year,north,0
C00556,53,104.54,0,one-year,west,0
C00557,63,65.88,0,one-year,south,0
C00558,57,102.21,0,two-year,east,0
C00559,61,71.54,0,month-to-month,north,1
C00560,39,70.93,2,month-to-month,north,1
C00561,4,67.78,1,month-to-month,west,0
C00562,36,70.09,2,two-year,south,0
C00563,13,112.97,1,one-year,north,1
C00564,64,15.0,1,month-to-month,east,0
C00565,17,19.96,2,month-to-month,north,0
C00566,17,56.42,2,one-year,south,1
C00567,18,70.36,2,one-year,east,0
C00568,46,87.25,0,one-year,east,0
C00569,41,81.83,1,month-to-month,south,0
C00570,68,60.39,0,two-year,south,0
C00571,30,95.48,0,one-year,west,0
C00572,21,95.75,2,one-year,north,0
C00573,4,74.6,2,one-year,north,0
C00574,1,94.07,2,two-year,north,0
C00575,27,76.82,1,two-year,west,0
C00576,66,55.96,4,one-year,south,0
C00577,38,87.45,1,month-to-month,north,0
C00578,64,72.77,0,month-to-month,north,0
C00579,8,70.03,1,two-year,north,1
C00580,7,106.82,1,one-year,west,0
C00581,60,15.0,0,month-to-month,south,0
C00582,8,34.56,0,month-to-month,north,0
C00583,4,40.32,1,two-year,north,0
C00584,29,60.92,1,two-year,east,0
C00585,66,63.63,1,two-year,east,0
C00586,49,32.32,2,month-to-month,west,0
C00587,8,45.37,4,one-year,north,1
C00588,60,48.48,2,two-year,north,0
C00589,60,131.44,1,month-to-month,north,1
C00590,57,115.04,1,month-to-month,south,0
C00591,65,59.71,1,two-year,east,0
C00592,18,60.91,0,month-to-month,east,0
C00593,70,41.27,2,one-year,north,0
C00594,23,22.3,0,one-year,east,0
C00595,57,67.08,1,one-year,east,1
C00596,42,45.05,2,month-to-month,north,1
C00597,56,67.88,3,one-year,east,0
C00598,45,29.99,1,month-to-month,south,0
C00599,46,50.95,2,two-year,north,0
C00600,44,73.72,2,month-to-month,south,1
C00601,56,79.16,0,one-year,west,0
C00602,53,80.44,0,one-year,east,0
C00603,10,36.99,1,month-to-month,south,1
C00604,59,91.37,4,month-to-month,west,1
C00605,39,49.99,0,one-year,south,0
C00606,23,85.82,1,month-to-month,south,1
C00607,37,69.73,0,month-to-month,north,0
C00608,69,35.59,1,month-to-month,west,0
C00609,61,62.1,3,two-year,west,0
C00610,60,79.13,3,one-year,north,0
C00611,33,85.32,0,month-to-month,east,1
C00612,56,66.48,2,two-year,west,0
C00613,28,108.29,1,month-to-month,east,1
C00614,49,95.19,1,month-to-month,north,0
C00615,46,63.58,2,month-to-month,west,0
C00616,18,88.75,2,month-to-month,south,1
C00617,19,118.34,0,month-to-month,south,0
C00618,5,119.01,3,one-year,south,1
C00619,10,39.3,2,month-to-month,west,0
C00620,31,46.84,0,one-year,east,0
C00621,34,107.12,0,month-to-month,east,1
C00622,12,43.54,1,month-to-month,west,1
C00623,30,36.94,1,month-to-month,west,0
C00624,43,57.85,2,one-year,west,0
C00625,17,80.51,1,one-year,west,0
C00626,25,67.44,2,month-to-month,west,1
C00627,27,53.74,2,month-to-month,west,1
C00628,36,53.14,0,month-to-month,east,1
C00629,27,52.19,2,two-year,north,0
C00630,53,48.01,1,month-to-month,north,0
C00631,24,127.04,1,one-year,west,0
C00632,31,77.44,0,month-to-month,south,0
C00633,27,92.17,3,month-to-month,west,1
C00634,13,57.77,3,one-year,west,0
C00635,49,65.35,3,month-to-month,east,1
C00636,17,52.16,1,month-to-month,west,0
C00637,22,15.0,2,two-year,south,0
C00638,57,35.55,2,month-to-month,south,0
C00639,68,24.73,0,month-to-month,west,0
C00640,48,15.0,2,month-to-month,west,1
C00641,66,40.12,5,month-to-month,north,1
C00642,61,103.12,1,one-year,west,0
C00643,35,68.89,0,month-to-month,south,1
C00644,55,102.26,1,two-year,west,0
C00645,24,80.27,1,one-year,east,1
C00646,33,89.56,1,two-year,east,1
C00647,39,47.48,2,two-year,north,0
C00648,69,83.1,3,two-year,south,0
C00649,61,88.22,1,one-year,east,0
C00650,35,55.58,1,month-to-month,west,1
C00651,47,83.99,4,month-to-month,north,1
C00652,15,84.15,2,one-year,north,1
C00653,58,56.26,1,month-to-month,east,0
C00654,40,41.93,1,one-year,south,0
C00655,38,40.4,1,month-to-month,west,0
C00656,55,72.16,0,two-year,north,0
C00657,45,78.18,0,month-to-month,south,0
C00658,6,50.19,2,two-year,north,0
